31,77,101,135,112,104,22,98,25,5,0
23,9,80,20,112,21,40,59,39,56,1
28,32,13,26,64,45,25,8,71,120,1
101,38,5,135,64,99,34,111,62,6,1
114,121,5,48,113,35,104,101,79,63,1
95,2,64,126,39,7,5,4,12,21,0
30,70,1,86,16,7,31,39,92,12,1
93,43,14,4,68,48,84,26,120,35,0
42,21,53,29,40,4,17,8,62,119,1
126,104,121,119,1,94,16,6,23,45,1
21,51,121,41,12,15,38,8,135,5,1
10,5,29,40,1,84,34,67,114,22,1
106,12,51,121,16,102,5,76,44,27,0
75,104,121,51,67,39,123,44,42,85,1
121,40,35,70,17,44,14,49,75,22,1
21,16,121,100,12,41,71,123,42,101,0
78,119,54,104,25,31,35,14,93,40,0
121,44,93,86,2,68,27,72,81,41,0
104,74,92,42,84,59,70,37,101,17,1
44,121,101,62,14,67,111,60,58,21,1
73,101,60,97,123,42,34,31,111,7,0
121,123,120,23,48,16,36,13,86,12,1
83,97,13,42,119,17,86,56,29,1,1
57,13,87,42,111,9,22,8,44,26,1
38,81,119,32,121,39,22,84,23,120,1
9,42,51,2,35,47,5,99,26,114,1
67,121,96,83,35,11,7,101,41,40,0
42,31,29,84,39,2,43,123,86,56,1
15,42,100,25,121,44,94,2,87,30,1
121,12,68,99,126,88,42,60,74,101,0
100,121,75,120,32,71,65,52,51,1,1
95,106,16,78,84,62,120,22,28,8,1
69,13,44,121,119,28,101,47,71,42,1
104,45,78,114,30,123,73,32,67,9,0
22,15,60,78,119,11,109,9,5,104,0
28,121,119,1,114,99,25,40,67,47,1
28,114,121,84,95,32,50,123,17,88,1
6,121,26,12,16,67,73,22,86,29,0
12,69,73,121,26,47,126,62,1,5,1
121,26,1,93,59,106,25,84,28,85,1
31,21,42,5,83,71,67,106,119,64,0
85,81,12,83,128,114,48,40,96,27,1
93,18,22,121,40,8,32,99,53,56,1
126,90,12,20,40,74,84,11,98,67,0
60,8,11,83,119,17,21,69,101,99,0
81,108,123,5,14,30,46,40,28,35,0
119,20,6,123,29,88,106,22,129,84,0
104,121,84,39,44,106,77,19,110,41,0
111,119,62,41,60,47,81,10,86,14,0
69,98,44,111,119,28,27,6,75,42,1
129,35,119,85,109,64,28,70,47,31,1
33,10,40,107,18,106,29,75,84,14,1
75,62,83,109,64,119,8,11,101,14,0
6,109,40,107,2,27,18,52,64,42,1
22,1,40,9,60,18,101,11,49,26,0
36,14,83,40,67,19,114,129,84,39,1
59,119,41,31,100,7,40,21,30,104,0
29,119,11,83,44,126,60,106,45,18,0
83,16,100,101,1,64,22,7,9,109,1
67,40,104,119,34,22,28,50,44,94,1
27,121,100,44,104,42,31,84,17,8,0
34,18,67,5,119,8,97,69,59,40,0
22,42,31,121,18,128,44,14,56,59,1
85,86,9,100,10,23,67,36,51,71,1
25,70,121,84,28,54,86,13,68,40,0
42,39,121,77,37,36,9,12,21,104,0
121,37,44,31,73,22,98,56,33,30,0
99,72,121,9,67,76,47,70,86,87,1
14,17,35,83,114,69,73,106,90,27,0
22,21,12,96,121,23,11,60,30,73,1
74,2,101,121,8,86,126,84,44,76,1
97,75,42,96,74,121,98,32,11,107,0
38,114,22,121,9,87,84,17,93,29,0
17,121,44,2,86,93,123,105,68,120,0
121,104,39,63,86,74,91,70,14,112,0
63,17,83,114,14,10,86,62,70,33,0
34,88,81,8,121,32,86,104,106,84,0
42,121,58,73,52,88,23,27,39,109,0
2,70,83,8,75,129,7,86,6,10,1
98,8,75,84,121,21,46,70,45,85,1
36,83,95,126,121,40,62,99,21,20,1
3,104,121,39,70,109,97,83,81,87,0
121,1,7,16,74,76,21,70,110,31,1
121,29,22,36,72,13,32,30,104,46,0
32,36,123,121,126,95,42,13,85,68,0
31,71,32,129,17,29,110,22,8,121,0
43,56,83,42,27,5,7,32,13,101,1
121,22,46,47,32,102,123,1,101,61,0
27,2,49,32,121,67,62,64,84,113,0
17,106,67,121,60,27,21,13,22,8,0
86,19,70,121,47,93,113,123,7,99,0
54,121,88,94,14,21,60,17,40,1,0
76,9,56,121,7,5,108,42,11,62,0
21,89,2,83,22,16,105,31,43,32,0
106,42,121,7,21,87,26,2,17,41,1
114,46,9,121,129,59,43,86,6,111,0
27,10,121,35,104,67,123,99,39,21,1
121,67,21,108,13,32,17,101,27,96,0
2,28,1,110,121,8,36,104,35,27,1
44,121,30,17,85,67,22,84,64,99,0
96,22,42,121,71,37,28,41,87,106,0
50,93,121,63,61,13,32,21,88,102,1
108,11,121,88,70,42,76,99,123,119,1
90,2,121,32,84,95,16,111,43,39,1
37,8,38,83,76,93,31,26,129,29,1
52,100,67,19,83,110,75,44,60,123,1
16,83,104,25,1,30,44,15,53,123,1
5,14,1,121,22,105,84,32,110,98,1
126,30,69,121,67,97,31,1,17,101,1
39,44,83,110,104,114,129,7,27,123,1
60,113,67,64,85,7,9,8,56,5,1
41,55,121,28,123,32,75,47,51,8,0
31,36,41,14,99,35,107,51,46,114,1
60,13,64,121,44,123,2,22,10,21,1
121,114,14,74,29,5,51,47,99,93,1
104,121,44,1,26,119,39,114,2,43,1
17,81,42,121,126,104,88,37,56,74,1
114,56,123,81,111,31,19,42,94,104,0
113,28,8,121,9,22,26,81,31,93,1
121,86,48,2,17,32,7,22,9,5,1
12,16,23,64,121,17,19,87,1,60,0
121,96,59,62,6,111,32,1,123,19,1
8,120,31,51,94,10,99,49,71,101,0
121,60,31,44,17,97,5,11,7,109,1
110,13,123,83,129,84,1,86,17,81,0
121,84,25,114,4,81,86,8,106,110,0
85,113,106,16,26,37,34,75,70,7,1
121,93,29,106,84,104,39,70,128,31,0
126,69,21,121,95,14,25,97,41,104,1
44,87,121,11,108,14,2,22,32,17,0
84,56,121,42,21,88,8,75,93,87,1
63,20,85,106,42,114,8,17,103,62,0
129,121,45,37,15,19,56,26,35,5,1
56,83,32,123,84,17,19,40,101,67,1
9,121,11,42,28,2,21,123,1,14,0
121,22,129,41,17,64,72,1,20,26,0
97,101,17,6,83,51,114,30,69,129,0
106,56,121,22,28,16,14,8,17,72,0
44,106,29,25,121,69,8,9,74,27,1
121,102,93,62,25,67,86,114,31,104,1
60,47,16,10,121,37,108,93,22,21,1
11,14,121,44,104,106,21,93,60,68,0
114,44,121,123,4,48,1,3,97,62,0
83,35,21,106,61,14,107,4,2,114,0
8,121,62,39,9,42,25,11,67,84,1
9,121,56,96,44,74,114,26,120,37,1
8,69,121,30,13,64,1,42,9,21,1
41,14,123,75,26,86,7,104,17,114,0
31,121,48,8,69,62,15,35,84,67,0
121,17,60,26,8,123,49,41,33,22,1
44,83,105,94,69,59,8,129,32,26,1
114,123,22,35,99,14,106,32,44,48,0
109,88,121,7,46,37,99,49,67,56,0
22,121,81,67,100,26,21,84,70,123,1
56,30,67,75,108,64,4,35,11,8,0
108,85,1,31,22,88,101,97,129,70,0
123,120,93,13,31,8,14,39,69,114,1
30,85,101,93,129,28,25,67,86,52,1
1,31,53,126,42,104,44,14,25,74,0
47,15,19,83,54,26,123,21,81,41,0
114,85,22,60,55,113,56,79,2,102,0
31,104,11,64,48,41,112,84,126,25,1
21,121,99,123,93,12,11,5,2,85,0
76,1,107,5,114,8,45,37,56,28,1
13,35,87,14,135,5,98,67,38,51,1
13,2,5,12,39,50,25,114,44,62,1
38,58,27,19,32,121,120,21,95,12,0
63,43,15,68,7,99,8,2,74,119,1
8,2,135,59,5,79,76,1,55,50,1
62,8,119,52,104,89,26,135,40,27,0
17,84,43,16,44,27,74,93,62,48,1
86,30,54,28,59,49,35,8,22,53,1
60,38,73,66,86,30,42,100,123,76,0
26,73,48,85,16,104,9,39,56,105,1
84,9,73,49,78,68,39,86,96,114,1
9,123,114,35,129,11,25,8,59,16,0
26,9,73,8,16,2,123,42,107,84,1
104,42,73,111,107,35,95,100,14,99,1
91,93,88,28,22,70,84,94,9,15,0
103,43,8,64,129,12,17,37,4,27,1
16,1,123,84,21,44,51,94,110,101,0
53,10,40,29,76,22,102,88,114,39,0
23,93,9,7,87,51,114,2,30,15,1
114,107,129,30,11,42,44,50,35,9,1
62,63,42,68,108,21,35,9,28,41,0
40,67,10,54,84,72,73,68,99,48,0
80,83,75,11,43,30,94,12,47,26,1
5,84,12,69,73,25,114,99,8,100,1
8,69,101,5,73,70,9,35,99,11,1
123,73,16,12,100,35,102,105,81,20,1
63,73,16,26,14,12,49,71,84,42,1
67,96,39,121,92,14,95,99,40,55,0
71,16,90,54,121,64,49,4,35,100,1
76,73,71,50,35,87,8,39,27,97,1
87,15,92,102,35,68,44,8,49,108,0
46,29,21,41,119,62,9,8,26,45,1
114,25,68,62,53,98,85,106,8,27,0
86,12,27,73,60,71,9,17,35,1,1
107,65,1,100,13,21,104,45,103,8,1
84,46,69,94,21,75,48,93,64,99,1
107,91,30,67,106,23,86,42,123,10,1
2,20,126,10,68,44,84,99,17,96,0
16,94,17,91,100,41,101,30,129,123,0
54,75,2,21,100,96,76,26,30,41,1
31,76,110,114,99,94,8,20,29,51,0
26,99,92,86,8,29,63,76,36,7,0
29,14,92,13,1,114,42,9,94,119,0
64,7,55,108,54,36,94,93,76,128,1
17,123,62,60,8,68,70,64,72,99,0
7,28,121,114,42,5,1,11,14,77,1
84,92,129,86,12,35,28,37,109,94,1
26,97,14,129,6,37,108,35,70,110,0
72,92,42,121,4,17,67,30,14,48,1
12,119,92,129,83,21,87,99,35,76,1
129,81,121,31,11,63,93,84,25,34,0
13,12,92,75,56,76,71,6,62,51,1
1,28,75,111,94,120,44,69,101,41,1
101,2,105,114,30,28,13,48,75,27,1
93,121,1,110,62,32,29,9,71,28,1
69,92,25,42,14,114,99,73,26,119,1
92,53,8,26,108,35,5,49,11,14,0
129,121,31,67,62,26,73,29,8,58,1
121,1,16,111,37,22,63,7,21,67,0
129,126,41,104,35,39,90,114,14,100,1
109,128,13,92,50,42,27,6,84,15,0
121,106,55,32,91,44,16,39,29,30,1
47,76,110,26,63,21,12,42,75,35,0
40,109,21,27,108,95,6,60,68,84,1
6,25,42,26,99,51,113,85,47,59,1
32,11,57,29,21,26,100,114,94,3,1
94,54,64,81,121,26,44,25,104,100,1
27,39,93,94,47,30,49,28,57,67,0
48,71,93,62,30,21,76,84,4,86,0
43,49,56,86,84,81,90,123,8,7,1
72,5,23,14,67,121,43,76,53,18,0
108,54,10,25,27,63,14,129,47,7,1
60,19,44,11,26,113,71,30,93,84,0
75,62,56,39,40,108,44,17,101,104,0
82,96,109,85,22,37,59,48,25,29,0
54,121,86,69,74,84,42,4,36,119,1
114,75,15,96,21,86,85,94,106,99,1
106,108,63,50,101,89,120,90,21,30,1
93,45,74,83,7,8,76,60,84,47,0
45,29,62,97,44,32,67,106,7,27,0
22,44,50,129,86,39,2,42,68,126,1
74,44,20,21,95,69,30,39,23,42,1
38,21,5,74,56,26,94,44,45,85,1
22,81,63,56,5,28,105,44,72,84,0
8,86,4,40,22,64,32,104,76,101,1
128,76,129,70,121,8,126,7,58,13,1
8,74,38,31,73,26,28,39,44,105,0
83,42,100,129,121,53,2,6,50,57,1
69,44,121,49,86,39,114,75,97,31,1
129,44,83,111,76,81,100,47,84,67,1
26,74,17,84,54,104,108,35,58,27,1
47,114,63,26,35,6,22,84,99,64,0
13,8,2,22,45,32,25,43,29,76,1
10,14,129,63,100,68,48,16,87,1,0
9,114,120,13,64,2,102,110,35,81,1
1,21,11,26,57,84,121,8,7,35,0
26,102,46,50,59,42,75,38,104,14,0
64,12,74,23,63,84,18,38,62,81,0
42,121,72,129,74,114,26,14,58,40,0
121,29,44,22,53,76,93,42,30,14,0
